Comment,Rating
,5
商品正確、出貨快速、謝謝,5
很棒棒棒棒棒棒棒棒棒棒棒,4.5
商品出貨速度快，包裝完整,5
氣炸鍋贈送的盤子三個，我還沒收到請你們立刻配送給我謝謝,5
出貨速度快，商品無誤，包裝完整！下次有需要會再繼續回購，謝謝！,5
看起來還不錯，就是還没開封,5
商品的品質優，價錢也合理，重點是過年前有辦法兩天就到貨，實在太棒！,5
毛邊屑屑很多,4
外觀高雅，品牌有保證，希望能耐用,5
不錯,5
商品正確、出貨快速、謝謝,5
很大一台 容量很足夠 可以炸很多東西,5
尾牙送禮大方又漂亮！,5
推拉卡卡的，以女生力氣無法順利使用 已申請換貨，希望可以拿到品質優良的,1
價格合理實惠希望好用,5
好用！氣炸任何食物都很棒！ 缺點就是，放進去的拉盒最後一下要用力一點，不然會放不進去完全！ 不然整體都很棒！連聲音都很安靜！,5
比想像中的大台，還未開始使用，商品蠻有質感的,5
符合期待，顏色喜歡，趁特價買起來。,5
出貨速度非常快速產品很優,4
買來送給客戶年終摸彩用很值得,4
外觀好看，但就是推進去的時候 有點卡卡的,3
雖然比想像中大台，但很好用，第一次使用氣炸鍋稍微看一下說明就可以上手。,5
目前使用其實還不錯 剛開始有一些塑膠味很重！,5
出貨快,5
品質優良，商品好用，送貨快速！,5
便宜好用，空間又大，黑色高貴,5
"【Electrolux 伊萊克斯】5公升觸控式氣炸鍋(E6AF1-520K), 人性化觸控面板設計,8種預設程式一鍵輕鬆完成,安全斷電防燙設置momo購物網總是優惠便宜好價格,值得推薦！",5
操作簡單 介面清晰明瞭,5
快速的出貨速度,5
好用夠大,5
👍,5
用後回饋：外鍋與外殼的銜接處是塑膠？每次使用(180℃)都是那個味道，橘子皮開鍋兩次沒效，可能要用鳳梨皮?!,3.5
出貨速度算快 商品也包裝完整,5
品質優良，送貨快速。,5
品質優良，送貨快速。,5
大品牌就是好質感！,5
看網路評價不錯 還沒開機 先買起來,5
因為家裡氣炸鍋壞了 找人修 花了500元 仍然無法使用 買新的伊萊克斯 便宜 操作又方便 超值！,5
比想像中大台，冷凍食品氣炸似乎會不均勻！,5
有質感，價格優，就拿出和推進烤欄會有點卡卡的，但不影響使用，整體來說很不錯,5
好…………………..,4
快速到貨、價格優惠。,5
大品牌Cp值高，容量大，美型,5
第一次使用伊萊克斯的電器用品，還沒有實際使用也不知道耐用性如何？但這個氣炸鍋的內部放置食物的空間對三人用餐一道菜的空間足夠。,5
特價檔期購入。使用友善，操作容易。期待產品品質穩定。,5
出貨很快包裝很完整，氣炸鍋很好用，沒什麼聲音，油煙也不大很推薦！,5
氣炸籃底部出現橘皮，感覺ㄧ洗就會掉漆，申請換貨後正常，使用時會有個蠻難聞的味道，不知道是不是因為新的關係,4
第一次購買使用，目前使用上都還不錯。,5
蠻好用的，而且好清理，容量也算大,5
配合折扣入手cp值相當高，物美價廉,5
很快就收到商品了 💯 出貨速度非常的快，比其他平台便宜。,5
開箱發現有瑕疵，發現塑膠味超級重,2.5
朋友推薦買的，質感不錯，送貨速度很快,5
這次送貨速度異常慢，以往都是很快能送達,5
物超所值，很好用，比之前買的雜牌好用很多，而且價格可愛，就是電線短了點，好想再買一台起來！,5
氣炸的很均勻，很棒,5
商品快速到貨，商品品質良好。,5
出貨速度快，還沒使用，希望好用,5
初次使用，酥脆好吃！外觀設計的也很美。,5
出貨速度快，CP值高 唯一缺點是盒子不好推進去。,4
抽取有卡卡的狀況，但兩隻手使用還可以接受，在1911的價格來說CP值很高,5
出貨快,5
打開後發現電線盒破裂，申請換貨，隔一天馬上收到，效率超快，電器也非常好用讚,5
這價位只能給5星好評,5
出貨速度超快，使用起來也簡單易懂,5
好用,5
出貨速度真的很快，這台原本已經是長期愛用，趁著檔期幫家人也購入一台，很少看到打折，1911超級優惠立刻購入！,5
價錢親民是款CP值高有商品,5
價格超殺，出貨迅速，服務滿分,5
送貨速度快，商品品質也不錯。,5
送貨速度快，品質普通食物不易熟，尤是烘烤魚類放冷藏室退冰24小時放入需較長時間約45分，烘烤出來肉質變柴柴不好吃～,3
用了幾天算好用，cp值高。就是幾分鐘和溫度要調好，不然會焦掉。,5
感覺滿大台的，容量也大，只是要取出外鍋時，有點卡卡的，不太順，試炸了薯條，效果還不錯，算是很不錯的商品。,5
幫朋友訂購，有特價很划算，出貨速度快,5
品質外觀好價錢物超所值，送貨也快速,4.5
送貨快速，趁著優惠價非常划算。,5
不錯用.靜音.面盤簡單高尚好操作.用一次炸薯條沒問題.只是內鍋朔膠味有點重會飄散出來.其它沒什麼問題.希望會慢慢消除.整體來說是不錯地...價格讚..性能讚.外觀讚...品牌讚...,5
使用時有非常重的塑膠味，食物上也有殘留的塑膠味,3
商品非常好，配送快速到貨，CP值高，價格親民~讚。,5
手把上有個小凸點故導致手把拉時會卡卡⋯已需求換貨,3
物超所值,5
未使用，特價購買 很讚,5
服務滿意,5
質感超級好 聲音又非常小 使用後沒有塑膠味 感覺非常的好,5
伊萊克斯出品就是好用,5
尚在測試使用中應該還可以,4
體積比想像中的大。購買的商品都已經收到，可以用優惠的價格買到喜歡的商品很開心，老闆寄件迅速包裝良好。,5
第一次使用拿來炸薯餅吃起來有塑膠味，後來私訊line客服按造建議的開鍋步驟就沒問題了~Line客服親切有幫助~觸控面板和轉輪很質感,4.5
東西好用，個人很喜歡，以這價格，覺得cp值算不錯了,5
把手跟機台連接處不平整且有黑黑的屑屑 有點小瑕疵 箱子一開始也未用膠帶封住 不知是否是整新品 看大家留言好像都是這樣,3.5
之前買3L的很好用，這次換大容量的！可裝更多食物呢！！,5
除了拉籃放回去不順外，使用上都很好，還有個架子，容量大又有活動價，性價比高👍,5
有8種預設程式 操作方便 且運行時很安靜,5
容量大，很漂亮,5
質感不錯，拉籃有點難拉，操作也不是很簡單,4
原封箱出貨沒有包覆膠膜紙箱有凹陷、外箱也有髒污、箱子封口也沒貼封口貼、運送過程隨時都可以打開…覺得有點不妥。氣炸鍋的籃子有點不太好拉、材質是塑料感覺不太堅固、感覺很快就會變形外型很美適中可收電線👍,4
第一次買氣炸鍋，它外型好看，但是很大一台，抽屜不好推進去，需要找角度，目前唯一敗筆。,5
首次購買氣炸鍋，首選喜歡的伊萊克斯品牌，趁特價購買，尚未使用，希望能符合期待。 已使用，操作簡單方便，好清洗。,5
優惠活動購買第一次使用氣炸鍋，感覺像是二手的，外包裝明顯開封過，內包裝也隨便包，機內明顯有使用過痕跡...,3
比想像中大箱非常多！直接原包裝寄送還以為外面會再包MOMO紙箱，送來外觀都有點凹凹的，尚未開始使用，但是商品很美，期待正式使用的一天，雙11用1911元買到的，好像滿常特價，非常棒！,5
超級大台的,5
比想像中還要大😂😂😂 以為頂多比電鍋大一點 結果快要逼近我家微波爐🤣,4
看起來很有質感～只是炸籃有點難推進去🥹其他都不錯👍,5
送貨來的時候，家人剛好都不在，送貨沒有打電話聯絡，直接把貨丟在家門外就離去，這是當momo會員幾10年首次碰到,3
出貨速度快,3.5
好用，再次買給家人用,5
"伊萊克斯的品質一直都很棒, 而此次的優惠活動真的非常的物美價廉",5
不曉得為什麼寄送資料貼紙是貼在下面，而導致東西是反過來運送，希望能改善,3
抽拉藍有一點難推進，有待改善,3
伊萊克斯 5公升觸控式氣炸鍋外型設計很美,5
才剛收到，還沒開始開箱，希望不錯用,4
聽朋友說很好用，所以就馬上下一台來試試看。 好期待成果,5
出貨速度很快，看起來很漂亮，就是不知道用起來怎樣,5
包裝完整購於甄甄直播間,5
出貨有點慢 產品容量大小符合期待,4.5
"優惠又好用,momo讚",4.5
商品有些刮傷及卡榫不是很平滑，需要大力點才能推進去,4.5
運送速度非常快 價格也非常便宜,5
特價1911購入還有登記回饋mo111，非常划算，而且下單很快收到，期待開箱使用,5
與X米-黑競爭後，伊萊克斯獲勝👍，外型優，火力強，價格勝，缺點😮‍💨：線太太太短，內網孔洞太小，清潔不易。 期待可使用多年 CP值高，抽拉籃順！以上純屬個人評價,5
沒用過氣炸鍋，想說趁特價時買來了解一下是否真的好用，還是不怎樣！,3
收到商品囉， 東西好、交貨快， 之後有需要還會回購！,5
"出貨速度快,價格很優惠,物超所值。",5
包裝完整，寄送快速，物品符合描述。,5
還沒使用，希望品質符合期待,5
用起來沒問題👌 收到實品，刮痕有點深。加上下方兩邊都有點凹痕，感覺不是很好⋯不像新品的感覺！,3
搶到特優惠的價錢真是開心，使用上也蠻不錯好用,5
請問有人知道這片有什麼作用嗎？,5
商品尚未使用比想像中的大，但外觀看起來很有質感,5
沒想到還滿大一台的，還沒使用，因為在喬擺放位置,4
CP值超高 觸控式螢幕超讚,5
趁活動$1911買到氣炸鍋👍🏻 使用之後也很方便操作不困難 公升數夠大所以一次烹調可容量食物夠多很讚 但是剛開始氣炸籃要進出會卡卡的 不像飛利浦的那麼順暢 整體還是很棒的使用體驗👍🏻,4.5
商品使用後很好用，在特價時可入手。,5
商品比我預想的大，拉出使用，需要小技巧，才不會感覺不好用。 商品使用上，按暫停運作，無法馬上停止，還要等3秒以上，才會停止運作。 優點方便使用、可自定溫度時間，目前測試上，還未在發現其他問題。,4
"出貨快速,非常滿意👍！",5
"商品出貨速度可,包裝完整,氣炸鍋容量略小,一般盤子無法使用,需另買較小型的.",5
不錯唷,5
商品品質不錯，出貨速度很快，整體購物體驗是好的,5
功能強方便操控，快速上手。,5
收到產品，很期待使用後，希望是好的,4
實品看起來不錯，期待使用,4
看到實品後，感覺還不錯，還沒使用，希望符合預期,4
出貨速度快 驗貨中 有需要會再回購,5
收到商品覺得很不錯，有一點重量覺得比較紮實，開鍋僅使用橘子皮氣炸一次，塑膠味沒有很濃，聲音也不是那麼吵雜。趁優惠價的時候購入真的很划算！,5
雙十一優惠購入，真的很划算。,5
價格還不錯，但好像沒有可以較容易操作,4
還未使用產品，建議可以提供氣炸鍋的食譜，還有外箱是否可以有個提把，不然很難拿，要用抱著拿實在是不方便。,4.5
收到此氣炸鍋體積比想像中大，外觀質感很好，操作簡單 運轉時聲音很小 ，第一次使用設定温度180時間15分鐘炸雞塊成果不錯；電源線如果再長一點就更完美了！,5
很有質感,5
實際看到機台時驚訝到：怎麼這麼大台。 就下來就是等週末來首次氣炸料理了！,5
